Time:     Velocity:    Altitude:    Pressure:    Temperature:    Attitude:
------------------------------------------------------------------------------
2014:14:11:47:46	040.83836	00420.89980	50:19282	-173.91015	00.402743	
2014:14:11:47:46	028.00291	00552.74255	50:54487	-170.73364	00.863776	
2014:14:11:47:47	063.69231	02240.06033	51:36796	-173.66282	01.750734	
2014:14:11:47:47	029.10702	03813.70494	-6268:91843	-166.20843	01.110845	
2014:14:11:47:47	069.77817	02979.85207	52:29370	-169.91695	02.279472	
2014:14:11:47:47	044.37682	04213.67056	51:08063	-165.01764	01.230047	
2014:14:11:47:48	084.76893	05309.74952	53:13970	-167.88967	02.631027	
2014:14:11:47:48	051.96678	04228.31784	52:29952	-156.60251	01.379937	
2014:14:11:47:48	106.53792	06824.69843	-6558:42075	-167.83291	03.383104	
2014:14:11:47:48	070.11704	04650.11854	53:67705	-154.65986	01.616133	
2014:14:11:47:49	130.87538	08303.14013	6582:27295	-135.58649	03.386695	
2014:14:11:47:49	070.47202	08758.94514	53:70058	-154.25053	01.920839	
2014:14:11:47:49	143.25228	09122.95733	53:58740	-128.83357	03.435493	
2014:14:11:47:49	071.10480	08945.93708	55:25844	-151.54545	02.046766	
2014:14:11:47:50	203.83584	09908.59247	53:80135	-125.58107	03.447635	
