Time:               Temperature (C):    Altitude (m):
----------------------------------------------------- 
2014:14:11:47:46	-112.62980	00168.47593	
2014:14:11:47:47	-110.11580	01162.41727	
2014:14:11:47:47	-109.45424	01284.32679	
2014:14:11:47:48	-104.77917	01288.79128	
2014:14:11:47:48	-103.69992	01417.35613	
2014:14:11:47:49	-103.47252	02669.72648	
2014:14:11:47:49	-101.96969	02726.72162	
2014:14:11:47:50	-101.33959	03350.06148	
2014:14:11:47:50	-096.20039	04019.78309	
2014:14:11:47:51	-089.79036	04043.59129	
2014:14:11:47:51	-089.47116	04226.54254	
2014:14:11:47:52	-089.36673	04233.25256	
2014:14:11:47:52	-086.93982	04403.82713	
2014:14:11:47:53	-086.39996	04815.09513	
2014:14:11:47:53	-086.14626	06029.49383	
2014:14:11:47:54	-081.84765	07805.19186	
2014:14:11:47:54	-080.51028	08649.52496	
2014:14:11:47:55	-073.20381	08853.84541	
2014:14:11:47:55	-072.14016	09597.70568	
2014:14:11:47:56	-072.04236	10687.61947	
2014:14:11:47:56	-071.25071	10886.58845	
2014:14:11:47:57	-070.68599	11096.62674	
2014:14:11:47:57	-066.66656	11831.36365	
2014:14:11:47:58	-066.02554	12822.29562	
2014:14:11:47:58	-062.78092	13225.69414	
2014:14:11:47:59	-062.65513	13754.20802	
2014:14:11:47:59	-060.49635	14739.17710	
2014:14:11:48:00	-058.87478	14791.11586	
2014:14:11:48:00	-055.20955	14996.74521	
2014:14:11:48:01	-047.24444	15662.46447	
2014:14:11:48:01	-046.92505	15732.55663	
2014:14:11:48:02	-043.89156	17480.54774	
2014:14:11:48:02	-042.95456	18284.90319	
2014:14:11:48:03	-042.71789	18640.76685	
2014:14:11:48:03	-038.22966	19114.52487	
2014:14:11:48:04	-035.82137	19142.12851	
2014:14:11:48:04	-033.98319	19854.18025	
2014:14:11:48:05	-029.46779	19994.85567	
2014:14:11:48:05	-026.11980	20876.94550	
2014:14:11:48:06	-025.16271	21000.87599	
2014:14:11:48:06	-024.25607	21174.60757	
2014:14:11:48:07	-019.28963	21196.07204	
2014:14:11:48:07	-015.90007	21429.49581	
2014:14:11:48:08	-014.96904	23032.94476	
2014:14:11:48:08	-011.12165	23326.43837	
2014:14:11:48:09	-003.03028	24269.79263	
2014:14:11:48:09	002.50339	24325.46859	
2014:14:11:48:10	004.37743	24443.94576	
2014:14:11:48:10	005.15469	24976.54608	
2014:14:11:48:11	005.18526	24999.46241	
2014:14:11:48:11	006.01892	25069.51313	
2014:14:11:48:12	006.12741	26476.23240	
2014:14:11:48:12	009.17915	27604.06101	
2014:14:11:48:13	012.01953	27742.34067	
2014:14:11:48:13	012.27924	28072.14439	
2014:14:11:48:14	017.98595	28122.05037	
2014:14:11:48:14	018.57178	28358.89798	
2014:14:11:48:15	018.59212	29384.87062	
2014:14:11:48:15	019.14763	29530.05211	
2014:14:11:48:16	023.67675	30081.76549	
